feature_pair,group,fold,rows,positive_rows,negative_rows,false_negative,false_positive,false_negative_rate,false_positive_rate
BPHIGH4 × GENHLTH,7: Don't know/Not Sure | 4: Fair,3,36,9,27,2,4,0.2222222222222222,0.14814814814814814
BPHIGH4 × DIABETE3,1: Yes | 1: Yes,1,8448,2105,6343,528,2408,0.2508313539192399,0.3796310893898786
BPHIGH4 × DIABETE3,1: Yes | 1: Yes,2,8388,2104,6284,539,2345,0.2561787072243346,0.3731699554423934
BPHIGH4 × DIABETE3,1: Yes | 1: Yes,3,8309,2066,6243,414,2466,0.20038722168441434,0.39500240269101394
BPHIGH4 × DIABETE3,1: Yes | 2: Documented value (label omitted),1,221,19,202,12,10,0.631578947368421,0.04950495049504951
BPHIGH4 × DIABETE3,1: Yes | 2: Documented value (label omitted),2,208,24,184,11,10,0.4583333333333333,0.05434782608695652
BPHIGH4 × DIABETE3,1: Yes | 2: Documented value (label omitted),3,215,20,195,6,16,0.3,0.08205128205128205
BPHIGH4 × DIABETE3,1: Yes | 3: Documented value (label omitted),1,25467,3434,22033,1573,3408,0.45806639487478157,0.1546770752961467
BPHIGH4 × DIABETE3,1: Yes | 3: Documented value (label omitted),2,25564,3414,22150,1561,3225,0.45723491505565317,0.1455981941309255
BPHIGH4 × DIABETE3,1: Yes | 3: Documented value (label omitted),3,25649,3442,22207,1512,3620,0.43927948866937827,0.16301166298914757
BPHIGH4 × DIABETE3,1: Yes | 4: Documented value (label omitted),1,951,168,783,61,182,0.3630952380952381,0.23243933588761176
BPHIGH4 × DIABETE3,1: Yes | 4: Documented value (label omitted),2,941,182,759,69,197,0.3791208791208791,0.2595520421607378
BPHIGH4 × DIABETE3,1: Yes | 4: Documented value (label omitted),3,932,169,763,63,197,0.3727810650887574,0.2581913499344692
BPHIGH4 × DIABETE3,1: Yes | 7: Documented value (label omitted),1,50,13,37,3,9,0.23076923076923078,0.24324324324324326
BPHIGH4 × DIABETE3,1: Yes | 7: Documented value (label omitted),2,61,11,50,5,14,0.45454545454545453,0.28
BPHIGH4 × DIABETE3,1: Yes | 7: Documented value (label omitted),3,58,7,51,2,14,0.2857142857142857,0.27450980392156865
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 1: Yes",1,48,6,42,4,5,0.6666666666666666,0.11904761904761904
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 1: Yes",2,34,3,31,3,1,1.0,0.03225806451612903
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 1: Yes",3,43,3,40,2,4,0.6666666666666666,0.1
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 2: Documented value (label omitted)",1,54,2,52,1,1,0.5,0.019230769230769232
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 2: Documented value (label omitted)",2,43,2,41,1,1,0.5,0.024390243902439025
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 2: Documented value (label omitted)",3,54,2,52,1,0,0.5,0.0
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 3: Documented value (label omitted)",1,555,11,544,7,3,0.6363636363636364,0.0055147058823529415
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 3: Documented value (label omitted)",2,566,13,553,11,0,0.8461538461538461,0.0
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 3: Documented value (label omitted)",3,515,14,501,13,4,0.9285714285714286,0.007984031936127744
BPHIGH4 × DIABETE3,3: No | 1: Yes,1,2706,361,2345,181,365,0.5013850415512465,0.15565031982942432
BPHIGH4 × DIABETE3,3: No | 1: Yes,2,2838,391,2447,200,331,0.5115089514066496,0.13526767470371884
BPHIGH4 × DIABETE3,3: No | 1: Yes,3,2750,379,2371,168,345,0.44327176781002636,0.14550822437789962
BPHIGH4 × DIABETE3,3: No | 2: Documented value (label omitted),1,406,7,399,7,0,1.0,0.0
BPHIGH4 × DIABETE3,3: No | 2: Documented value (label omitted),2,433,8,425,7,5,0.875,0.011764705882352941
BPHIGH4 × DIABETE3,3: No | 2: Documented value (label omitted),3,456,5,451,4,1,0.8,0.0022172949002217295
BPHIGH4 × DIABETE3,3: No | 3: Documented value (label omitted),1,46870,1464,45406,1060,814,0.7240437158469946,0.0179271461921332
BPHIGH4 × DIABETE3,3: No | 3: Documented value (label omitted),2,46722,1456,45266,1069,774,0.7342032967032966,0.01709892634648522
BPHIGH4 × DIABETE3,3: No | 3: Documented value (label omitted),3,46866,1473,45393,1081,789,0.7338764426340801,0.017381534597845482
BPHIGH4 × DIABETE3,3: No | 4: Documented value (label omitted),1,506,49,457,30,28,0.6122448979591837,0.061269146608315096
BPHIGH4 × DIABETE3,3: No | 4: Documented value (label omitted),2,492,40,452,23,24,0.575,0.05309734513274336
BPHIGH4 × DIABETE3,3: No | 4: Documented value (label omitted),3,525,43,482,25,24,0.5813953488372093,0.04979253112033195
BPHIGH4 × DIABETE3,3: No | 7: Documented value (label omitted),1,41,4,37,3,4,0.75,0.10810810810810811
BPHIGH4 × DIABETE3,3: No | 7: Documented value (label omitted),2,34,2,32,1,2,0.5,0.0625
