feature,group,rows,positive_rows,negative_rows,boosting_false_negatives,logistic_false_negatives,boosting_false_positives,logistic_false_positives,both_false_negatives,both_false_positives,boosting_only_false_negatives,boosting_only_false_positives,boosting_far_false_negatives,boosting_far_false_positives,boosting_false_negative_rate,logistic_false_negative_rate,boosting_false_positive_rate,logistic_false_positive_rate
_AGE80 × BPHIGH4,"65+ | 2: Yes, but female told only during pregnancy",228,21,207,15,13,11,18,13,11,2,0,7,6,0.7142857142857143,0.6190476190476191,0.05314009661835749,0.08695652173913043
_AGE80 × BPHIGH4,65+ | 3: No,34428,3403,31025,1969,2129,2786,2746,1842,2043,127,743,1022,951,0.5786071113723186,0.6256244490155745,0.08979854955680902,0.08850926672038678
_AGE80 × BPHIGH4,65+ | 4: Told borderline high or pre-hypertensive,992,107,885,65,80,101,84,62,69,3,32,34,38,0.6074766355140186,0.7476635514018691,0.11412429378531073,0.09491525423728814
_AGE80 × BPHIGH4,65+ | 7: Don't know/Not Sure,245,56,189,19,26,35,29,17,25,2,10,9,17,0.3392857142857143,0.4642857142857143,0.18518518518518517,0.15343915343915343
BPHIGH4 × GENHLTH,1: Yes | 1: Excellent,8436,502,7934,417,443,137,105,409,73,8,64,276,21,0.8306772908366534,0.8824701195219123,0.017267456516259137,0.013234182001512478
BPHIGH4 × GENHLTH,1: Yes | 2: Very good,28635,2359,26276,1732,1770,1440,1436,1632,1018,100,422,959,253,0.7342094107672743,0.7503179313268334,0.05480286192723398,0.05465063175521388
BPHIGH4 × GENHLTH,1: Yes | 3: Good,37912,5563,32349,2690,2795,5554,5826,2385,4513,305,1041,1057,2209,0.4835520402660435,0.502426748157469,0.17169000587344277,0.18009830288416953
BPHIGH4 × GENHLTH,1: Yes | 4: Fair,21027,5200,15827,1201,1334,7033,6909,1009,6012,192,1021,299,3521,0.23096153846153847,0.25653846153846155,0.4443672205724395,0.43653250773993807
BPHIGH4 × GENHLTH,1: Yes | 5: Poor,9116,3485,5631,297,271,3854,4074,199,3627,98,227,52,2515,0.08522238163558106,0.07776183644189383,0.6844255016870894,0.7234949387320192
BPHIGH4 × GENHLTH,1: Yes | 7: Don’t know/Not Sure,236,49,187,13,24,70,27,13,27,0,43,4,34,0.2653061224489796,0.4897959183673469,0.37433155080213903,0.1443850267379679
BPHIGH4 × GENHLTH,1: Yes | 9: Refused,119,24,95,10,18,34,13,9,11,1,23,5,16,0.4166666666666667,0.75,0.35789473684210527,0.1368421052631579
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 1: Excellent",322,9,313,9,9,0,0,9,0,0,0,9,0,1.0,1.0,0.0,0.0
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 2: Very good",715,7,708,7,7,0,0,7,0,0,0,7,0,1.0,1.0,0.0,0.0
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 3: Good",651,19,632,15,15,4,8,14,4,1,0,9,1,0.7894736842105263,0.7894736842105263,0.006329113924050633,0.012658227848101266
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 4: Fair",205,13,192,9,9,7,7,9,5,0,2,6,3,0.6923076923076923,0.6923076923076923,0.036458333333333336,0.036458333333333336
BPHIGH4 × GENHLTH,3: No | 1: Excellent,36251,387,35864,366,379,15,23,364,8,2,7,329,2,0.9457364341085271,0.979328165374677,0.00041824670979254965,0.0006413116216819094
BPHIGH4 × GENHLTH,3: No | 2: Very good,56006,1244,54762,1128,1175,266,223,1109,140,19,126,834,42,0.9067524115755627,0.9445337620578779,0.004857382856725467,0.0040721668310142066
BPHIGH4 × GENHLTH,3: No | 3: Good,41884,1874,40010,1383,1476,1053,913,1325,647,58,406,923,267,0.7379935965848452,0.7876200640341515,0.026318420394901273,0.02281929517620595
BPHIGH4 × GENHLTH,3: No | 4: Fair,13013,1380,11633,709,790,1309,1228,660,960,49,349,340,485,0.513768115942029,0.572463768115942,0.11252471417519126,0.10556176394739104
BPHIGH4 × GENHLTH,3: No | 5: Poor,4235,779,3456,264,260,846,997,221,737,43,109,111,402,0.33889602053915274,0.3337612323491656,0.24479166666666666,0.2884837962962963
BPHIGH4 × GENHLTH,3: No | 7: Don’t know/Not Sure,203,16,187,9,14,19,3,9,3,0,16,7,7,0.5625,0.875,0.10160427807486631,0.016042780748663103
BPHIGH4 × GENHLTH,3: No | 9: Refused,125,9,116,6,8,4,0,6,0,0,4,3,1,0.6666666666666666,0.8888888888888888,0.034482758620689655,0.0
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 1: Excellent,362,16,346,13,16,0,0,13,0,0,0,13,0,0.8125,1.0,0.0,0.0
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 2: Very good,1017,34,983,30,31,14,8,30,8,0,6,19,3,0.8823529411764706,0.9117647058823529,0.014242115971515769,0.008138351983723296
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 3: Good,838,53,785,39,44,44,27,38,20,1,24,26,10,0.7358490566037735,0.8301886792452831,0.05605095541401274,0.034394904458598725
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 4: Fair,294,44,250,21,31,42,37,20,33,1,9,8,23,0.4772727272727273,0.7045454545454546,0.168,0.148
BPHIGH4 × GENHLTH,7: Don't know/Not Sure | 2: Very good,127,12,115,10,11,3,0,10,0,0,3,8,0,0.8333333333333334,0.9166666666666666,0.02608695652173913,0.0
BPHIGH4 × GENHLTH,7: Don't know/Not Sure | 3: Good,174,18,156,9,10,14,13,8,12,1,2,5,6,0.5,0.5555555555555556,0.08974358974358974,0.08333333333333333
BPHIGH4 × GENHLTH,7: Don't know/Not Sure | 4: Fair,107,24,83,7,8,19,13,5,10,2,9,1,7,0.2916666666666667,0.3333333333333333,0.2289156626506024,0.1566265060240964
BPHIGH4 × DIABETE3,1: Yes | 1: Yes,25145,6275,18870,1481,1504,7219,7589,1206,6374,275,845,465,3725,0.23601593625498007,0.2396812749003984,0.3825649178590355,0.4021727609962904
BPHIGH4 × DIABETE3,1: Yes | 2: Documented value (label omitted),644,63,581,29,30,36,52,24,33,5,3,11,17,0.4603174603174603,0.47619047619047616,0.06196213425129088,0.08950086058519793
BPHIGH4 × DIABETE3,1: Yes | 3: Documented value (label omitted),76680,10290,66390,4646,4884,10253,10211,4238,8419,408,1834,2098,4550,0.45150631681243925,0.47463556851311955,0.15443590902244314,0.15380328362705226
BPHIGH4 × DIABETE3,1: Yes | 4: Documented value (label omitted),2824,519,2305,193,225,576,501,177,424,16,152,73,257,0.371868978805395,0.43352601156069365,0.24989154013015186,0.217353579175705
BPHIGH4 × DIABETE3,1: Yes | 7: Documented value (label omitted),169,31,138,10,11,37,35,10,30,0,7,5,20,0.3225806451612903,0.3548387096774194,0.26811594202898553,0.2536231884057971
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 1: Yes",125,12,113,9,7,10,13,7,9,2,1,5,5,0.75,0.5833333333333334,0.08849557522123894,0.11504424778761062
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 2: Documented value (label omitted)",151,6,145,3,3,2,2,3,2,0,0,3,2,0.5,0.5,0.013793103448275862,0.013793103448275862
BPHIGH4 × DIABETE3,"2: Yes, but female told only during pregnancy | 3: Documented value (label omitted)",1636,38,1598,31,32,7,12,31,6,0,1,24,3,0.8157894736842105,0.8421052631578947,0.004380475594493116,0.007509386733416771
BPHIGH4 × DIABETE3,3: No | 1: Yes,8294,1131,7163,549,629,1041,953,509,759,40,282,266,408,0.4854111405835544,0.5561450044208665,0.14533016892363534,0.13304481362557588
BPHIGH4 × DIABETE3,3: No | 2: Documented value (label omitted),1295,20,1275,18,17,6,5,17,3,1,3,16,0,0.9,0.85,0.004705882352941176,0.00392156862745098
BPHIGH4 × DIABETE3,3: No | 3: Documented value (label omitted),140458,4393,136065,3210,3356,2377,2358,3085,1677,125,700,2211,764,0.7307079444570909,0.763942636011837,0.017469591739242275,0.017329952596185645
BPHIGH4 × DIABETE3,3: No | 4: Documented value (label omitted),1523,132,1391,78,89,76,62,74,47,4,29,49,29,0.5909090909090909,0.6742424242424242,0.054636951833213515,0.04457225017972682
BPHIGH4 × DIABETE3,3: No | 7: Documented value (label omitted),128,12,116,9,10,11,8,8,8,1,3,5,4,0.75,0.8333333333333334,0.09482758620689655,0.06896551724137931
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 1: Yes,201,26,175,11,13,34,28,8,25,3,9,3,11,0.4230769230769231,0.5,0.19428571428571428,0.16
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 3: Documented value (label omitted),2223,123,2100,90,106,80,62,89,49,1,31,60,31,0.7317073170731707,0.8617886178861789,0.0380952380952381,0.029523809523809525
BPHIGH4 × DIABETE3,4: Told borderline high or pre-hypertensive | 4: Documented value (label omitted),169,20,149,14,17,14,9,14,9,0,5,8,8,0.7,0.85,0.09395973154362416,0.06040268456375839
BPHIGH4 × DIABETE3,7: Don't know/Not Sure | 3: Documented value (label omitted),414,51,363,22,28,22,19,20,16,2,6,11,9,0.43137254901960786,0.5490196078431373,0.06060606060606061,0.05234159779614325
BPHIGH4 × DIABETE3,9: Refused | 3: Documented value (label omitted),192,4,188,3,4,6,6,3,4,0,2,1,1,0.75,1.0,0.031914893617021274,0.031914893617021274
_AGE80 × GENHLTH,18-44 | 1: Excellent,16209,67,16142,62,65,1,0,62,0,0,1,61,0,0.9253731343283582,0.9701492537313433,6.195019204559534e-05,0.0
_AGE80 × GENHLTH,18-44 | 2: Very good,25470,134,25336,133,133,3,2,132,0,1,3,128,0,0.9925373134328358,0.9925373134328358,0.00011840858856962425,7.893905904641616e-05
_AGE80 × GENHLTH,18-44 | 3: Good,21047,280,20767,264,274,24,12,264,6,0,18,239,6,0.9428571428571428,0.9785714285714285,0.0011556796841142197,0.0005778398420571098
_AGE80 × GENHLTH,18-44 | 4: Fair,5945,239,5706,194,215,118,83,191,62,3,56,143,43,0.8117154811715481,0.899581589958159,0.020679985979670523,0.01454609183315808
_AGE80 × GENHLTH,18-44 | 5: Poor,1379,154,1225,90,97,138,130,82,92,8,46,51,69,0.5844155844155844,0.6298701298701299,0.1126530612244898,0.10612244897959183
